Full URL,Stripped URL,Level
https://uedayou.net/loa/神奈川県足柄上郡大井町,,0
https://uedayou.net/loa/神奈川県足柄上郡大井町金子,神奈川県足柄上郡大井町金子,1
https://uedayou.net/loa/神奈川県足柄上郡大井町金手,神奈川県足柄上郡大井町金手,1
https://uedayou.net/loa/神奈川県足柄上郡大井町高尾,神奈川県足柄上郡大井町高尾,1
https://uedayou.net/loa/神奈川県足柄上郡大井町山田,神奈川県足柄上郡大井町山田,1
https://uedayou.net/loa/神奈川県足柄上郡大井町篠窪,神奈川県足柄上郡大井町篠窪,1
https://uedayou.net/loa/神奈川県足柄上郡大井町上大井,神奈川県足柄上郡大井町上大井,1
https://uedayou.net/loa/神奈川県足柄上郡大井町西大井,神奈川県足柄上郡大井町西大井,1
https://uedayou.net/loa/神奈川県足柄上郡大井町赤田,神奈川県足柄上郡大井町赤田,1
https://uedayou.net/loa/神奈川県足柄上郡大井町柳,神奈川県足柄上郡大井町柳,1
