Full URL,Stripped URL,Level
https://uedayou.net/loa/神奈川県中郡大磯町,,0
https://uedayou.net/loa/神奈川県中郡大磯町月京,神奈川県中郡大磯町月京,1
https://uedayou.net/loa/神奈川県中郡大磯町高麗,神奈川県中郡大磯町高麗,1
https://uedayou.net/loa/神奈川県中郡大磯町国府新宿,神奈川県中郡大磯町国府新宿,1
https://uedayou.net/loa/神奈川県中郡大磯町国府本郷,神奈川県中郡大磯町国府本郷,1
https://uedayou.net/loa/神奈川県中郡大磯町黒岩,神奈川県中郡大磯町黒岩,1
https://uedayou.net/loa/神奈川県中郡大磯町寺坂,神奈川県中郡大磯町寺坂,1
https://uedayou.net/loa/神奈川県中郡大磯町生沢,神奈川県中郡大磯町生沢,1
https://uedayou.net/loa/神奈川県中郡大磯町西久保,神奈川県中郡大磯町西久保,1
https://uedayou.net/loa/神奈川県中郡大磯町西小磯,神奈川県中郡大磯町西小磯,1
https://uedayou.net/loa/神奈川県中郡大磯町石神台,神奈川県中郡大磯町石神台,1
https://uedayou.net/loa/神奈川県中郡大磯町大磯,神奈川県中郡大磯町大磯,1
https://uedayou.net/loa/神奈川県中郡大磯町虫窪,神奈川県中郡大磯町虫窪,1
https://uedayou.net/loa/神奈川県中郡大磯町東小磯,神奈川県中郡大磯町東小磯,1
https://uedayou.net/loa/神奈川県中郡大磯町東町,神奈川県中郡大磯町東町,1
https://uedayou.net/loa/神奈川県中郡大磯町高麗1丁目,神奈川県中郡大磯町高麗1丁目,2
https://uedayou.net/loa/神奈川県中郡大磯町高麗2丁目,神奈川県中郡大磯町高麗2丁目,2
https://uedayou.net/loa/神奈川県中郡大磯町高麗3丁目,神奈川県中郡大磯町高麗3丁目,2
