area_id,area_name,subarea_name
20,川崎市幸区,川崎市幸区遠藤町
20,川崎市幸区,川崎市幸区下平間
20,川崎市幸区,川崎市幸区河原町
20,川崎市幸区,川崎市幸区古市場
20,川崎市幸区,川崎市幸区古川町
20,川崎市幸区,川崎市幸区戸手
20,川崎市幸区,川崎市幸区戸手本町
20,川崎市幸区,川崎市幸区幸町
20,川崎市幸区,川崎市幸区紺屋町
20,川崎市幸区,川崎市幸区鹿島田
20,川崎市幸区,川崎市幸区小向
20,川崎市幸区,川崎市幸区小向西町
20,川崎市幸区,川崎市幸区小向仲野町
20,川崎市幸区,川崎市幸区小向町
20,川崎市幸区,川崎市幸区小向東芝町
20,川崎市幸区,川崎市幸区小倉
20,川崎市幸区,川崎市幸区新小倉
20,川崎市幸区,川崎市幸区新川崎
20,川崎市幸区,川崎市幸区新塚越
20,川崎市幸区,川崎市幸区神明町
20,川崎市幸区,川崎市幸区大宮町
20,川崎市幸区,川崎市幸区中幸町
20,川崎市幸区,川崎市幸区塚越
20,川崎市幸区,川崎市幸区都町
20,川崎市幸区,川崎市幸区東古市場
20,川崎市幸区,川崎市幸区東小倉
20,川崎市幸区,川崎市幸区南加瀬
20,川崎市幸区,川崎市幸区南幸町
20,川崎市幸区,川崎市幸区北加瀬
20,川崎市幸区,川崎市幸区堀川町
20,川崎市幸区,川崎市幸区矢上
20,川崎市幸区,川崎市幸区柳町
20,川崎市幸区,川崎市幸区古市場1丁目
20,川崎市幸区,川崎市幸区古市場2丁目
20,川崎市幸区,川崎市幸区戸手1丁目
20,川崎市幸区,川崎市幸区戸手2丁目
20,川崎市幸区,川崎市幸区戸手3丁目
20,川崎市幸区,川崎市幸区戸手4丁目
20,川崎市幸区,川崎市幸区戸手本町1丁目
20,川崎市幸区,川崎市幸区戸手本町2丁目
20,川崎市幸区,川崎市幸区幸町1丁目
20,川崎市幸区,川崎市幸区幸町2丁目
20,川崎市幸区,川崎市幸区幸町3丁目
20,川崎市幸区,川崎市幸区幸町4丁目
20,川崎市幸区,川崎市幸区鹿島田1丁目
20,川崎市幸区,川崎市幸区鹿島田2丁目
20,川崎市幸区,川崎市幸区鹿島田3丁目
20,川崎市幸区,川崎市幸区小向西町1丁目
20,川崎市幸区,川崎市幸区小向西町2丁目
20,川崎市幸区,川崎市幸区小向西町3丁目
20,川崎市幸区,川崎市幸区小向西町4丁目
20,川崎市幸区,川崎市幸区小倉1丁目
20,川崎市幸区,川崎市幸区小倉2丁目
20,川崎市幸区,川崎市幸区小倉3丁目
20,川崎市幸区,川崎市幸区小倉4丁目
20,川崎市幸区,川崎市幸区小倉5丁目
20,川崎市幸区,川崎市幸区神明町1丁目
20,川崎市幸区,川崎市幸区神明町2丁目
20,川崎市幸区,川崎市幸区中幸町1丁目
20,川崎市幸区,川崎市幸区中幸町2丁目
20,川崎市幸区,川崎市幸区中幸町3丁目
20,川崎市幸区,川崎市幸区中幸町4丁目
20,川崎市幸区,川崎市幸区塚越1丁目
20,川崎市幸区,川崎市幸区塚越2丁目
20,川崎市幸区,川崎市幸区塚越3丁目
20,川崎市幸区,川崎市幸区塚越4丁目
20,川崎市幸区,川崎市幸区南加瀬1丁目
20,川崎市幸区,川崎市幸区南加瀬2丁目
20,川崎市幸区,川崎市幸区南加瀬3丁目
20,川崎市幸区,川崎市幸区南加瀬4丁目
20,川崎市幸区,川崎市幸区南加瀬5丁目
20,川崎市幸区,川崎市幸区南幸町1丁目
20,川崎市幸区,川崎市幸区南幸町2丁目
20,川崎市幸区,川崎市幸区南幸町3丁目
20,川崎市幸区,川崎市幸区北加瀬1丁目
20,川崎市幸区,川崎市幸区北加瀬2丁目
20,川崎市幸区,川崎市幸区北加瀬3丁目
19,川崎市川崎区,川崎市川崎区旭町
19,川崎市川崎区,川崎市川崎区伊勢町
19,川崎市川崎区,川崎市川崎区駅前本町
19,川崎市川崎区,川崎市川崎区榎町
19,川崎市川崎区,川崎市川崎区塩浜
19,川崎市川崎区,川崎市川崎区下並木
19,川崎市川崎区,川崎市川崎区貝塚
19,川崎市川崎区,川崎市川崎区観音
19,川崎市川崎区,川崎市川崎区宮前町
19,川崎市川崎区,川崎市川崎区宮本町
19,川崎市川崎区,川崎市川崎区京町
19,川崎市川崎区,川崎市川崎区境町
19,川崎市川崎区,川崎市川崎区元木
19,川崎市川崎区,川崎市川崎区江川
19,川崎市川崎区,川崎市川崎区港町
19,川崎市川崎区,川崎市川崎区鋼管通
19,川崎市川崎区,川崎市川崎区砂子
19,川崎市川崎区,川崎市川崎区桜本
19,川崎市川崎区,川崎市川崎区四谷下町
19,川崎市川崎区,川崎市川崎区四谷上町
19,川崎市川崎区,川崎市川崎区出来野
19,川崎市川崎区,川崎市川崎区小川町
19,川崎市川崎区,川崎市川崎区小田
19,川崎市川崎区,川崎市川崎区小田栄
19,川崎市川崎区,川崎市川崎区小島町
19,川崎市川崎区,川崎市川崎区昭和
19,川崎市川崎区,川崎市川崎区新川通
19,川崎市川崎区,川崎市川崎区水江町
19,川崎市川崎区,川崎市川崎区千鳥町
19,川崎市川崎区,川崎市川崎区川中島
19,川崎市川崎区,川崎市川崎区扇町
19,川崎市川崎区,川崎市川崎区扇島
19,川崎市川崎区,川崎市川崎区浅田
19,川崎市川崎区,川崎市川崎区浅野町
19,川崎市川崎区,川崎市川崎区台町
19,川崎市川崎区,川崎市川崎区大師駅前
19,川崎市川崎区,川崎市川崎区大師河原
19,川崎市川崎区,川崎市川崎区大師公園
19,川崎市川崎区,川崎市川崎区大師町
19,川崎市川崎区,川崎市川崎区大師本町
19,川崎市川崎区,川崎市川崎区大川町
19,川崎市川崎区,川崎市川崎区大島
19,川崎市川崎区,川崎市川崎区大島上町
19,川崎市川崎区,川崎市川崎区池上新町
19,川崎市川崎区,川崎市川崎区池上町
19,川崎市川崎区,川崎市川崎区池田
19,川崎市川崎区,川崎市川崎区中瀬
19,川崎市川崎区,川崎市川崎区中島
19,川崎市川崎区,川崎市川崎区追分町
19,川崎市川崎区,川崎市川崎区堤根
19,川崎市川崎区,川崎市川崎区田町
19,川崎市川崎区,川崎市川崎区田島町
19,川崎市川崎区,川崎市川崎区田辺新田
19,川崎市川崎区,川崎市川崎区渡田
19,川崎市川崎区,川崎市川崎区渡田向町
19,川崎市川崎区,川崎市川崎区渡田山王町
19,川崎市川崎区,川崎市川崎区渡田新町
19,川崎市川崎区,川崎市川崎区渡田東町
19,川崎市川崎区,川崎市川崎区東扇島
19,川崎市川崎区,川崎市川崎区東田町
19,川崎市川崎区,川崎市川崎区東門前
19,川崎市川崎区,川崎市川崎区藤崎
19,川崎市川崎区,川崎市川崎区南町
19,川崎市川崎区,川崎市川崎区南渡田町
19,川崎市川崎区,川崎市川崎区日ノ出
19,川崎市川崎区,川崎市川崎区日進町
19,川崎市川崎区,川崎市川崎区白石町
19,川崎市川崎区,川崎市川崎区浜町
19,川崎市川崎区,川崎市川崎区富士見
19,川崎市川崎区,川崎市川崎区浮島町
19,川崎市川崎区,川崎市川崎区堀之内町
19,川崎市川崎区,川崎市川崎区本町
19,川崎市川崎区,川崎市川崎区夜光
19,川崎市川崎区,川崎市川崎区鈴木町
19,川崎市川崎区,川崎市川崎区旭町1丁目
19,川崎市川崎区,川崎市川崎区旭町2丁目
